Grid_ID,Latitude,Longitude
1223_7754,12.9716,77.5946
1224_7723,12.9716,77.5946
1241_7721,12.9716,77.5946
1242_7712,12.9716,77.5946
1242_7724,12.9716,77.5946
1245_7710,12.9716,77.5946
1246_7712,12.9716,77.5946
1246_7724,12.9716,77.5946
1247_7712,12.9716,77.5946
1254_7724,12.9716,77.5946
1254_7726,12.9716,77.5946
1258_7724,12.9716,77.5946
1266_7758,12.9716,77.5946
1274_7724,12.9716,77.5946
1276_7724,12.9716,77.5946
1276_7756,12.9716,77.5946
1296_7104,12.966681,71.048949
1296_7712,12.966681,77.12462
1352_7731,12.9716,77.5946
3708_6817,12.9716,77.5946
3708_7758,12.9716,77.5946
3708_7777,12.9716,77.5946
1223_7765,12.9675,77.5968
1229_7665,12.9885,77.5875
1231_7664,12.9675,77.5968
1232_7667,12.9578,77.5675
1252_7725,12.8458,77.6575
1394_7629,12.9578,77.5603
1394_7756,12.9564,77.6135
7755_1295,12.9368,77.6169
11295_7753,12.9648,77.5317
1215_7664,13.0146,77.5128
1234_7742,12.9604,77.5317
1239_7752,12.9665,77.5238
1251_7731,12.9758,77.5118
1257_7731,12.9604,77.5317
1257_7753,12.9669,77.5255
1257_7754,12.9808,77.5468
1294_7751,12.9438686,77.51823814
1294_7752,12.94487185,77.52521783
1295_7751,12.95742513,77.51654404
1295_7752,12.95485759,77.52516475
1295_7795,12.958893,77.958893
1296_752,12.968463,7.522401
1296_7751,12.96364879,77.515726
1296_7752,12.96521331,77.52425398
1296_7796,12.9632286,77.96394722
1302_7746,13.0228,77.46841
1357_7694,12.9798,77.5555
2478_8687,12.9349,77.6153
2856_7720,12.9654,77.5068
7752_1295,12.9898,77.5159
7752_7795,12.9349,77.6153
7757_1257,12.9898,77.5159
1245_7725,12.9148,77.5598
1246_7725,12.9148,77.5598
1249_7745,12.9278,77.5448
1254_7725,12.9148,77.5598
1254_7754,12.9278,77.5448
1254_7792,12.9848,77.5188
1255_7733,12.9236,77.5538
1256_7725,12.9148,77.5598
1256_7793,12.9148,77.5598
1279_7725,12.9188,77.5518
1292_7733,12.9278,77.5458
1292_7735,12.9048,77.5528
1292_7754,12.9188,77.5518
1292_7755,12.9278,77.5458
1292_7756,12.9278,77.5458
1293_7756,12.9328,77.5594
1335_7709,12.933,77.5599
7753_1291,12.9169,77.5558
7755_1292,12.9268,77.5425
1258_7734,12.9658,77.5738
1294_7756,12.94595879,77.56544493
1313_7762,13.13832167,77.62050933
1314_7758,13.14726,77.588741
1314_7760,13.14436633,77.603399
1314_7761,13.14425792,77.61693484
1314_7762,13.14357561,77.62692683
1314_7763,13.141925,77.63183825
1315_7758,13.151725,77.589899
1315_7760,13.15219433,77.607838
1315_7761,13.15415236,77.61750389
1316_7757,13.1725,77.6327
1316_7759,13.1658895,77.597109
1316_7760,13.161579,77.60865775
1316_7761,13.16251313,77.6123331
1316_7762,13.16534926,77.62748507
1316_7763,13.16666278,77.63389621
1316_7764,13.165074,77.644241
1316_7765,13.1453,77.6037
1317_7758,13.179047,77.5883469
1317_7761,13.1764355,77.6184625
1317_7764,13.175618,77.649133
1317_7765,13.177303,77.65550163
1318_7757,13.181785,77.5795379
1318_7758,13.182456,77.589648
1318_7763,13.18757,77.633826
1318_7765,13.1842255,77.655045
